ISOdate,Year,Month,soi3m,nino5m,CEI,category,code
1950-01-01,1950,1,,,,,
1950-02-01,1950,2,,,,,
1950-03-01,1950,3,1.5303727458131862,,,,
1950-04-01,1950,4,1.9089728788318063,,,,
1950-05-01,1950,5,1.7283885849699965,-1.9382660408391443,-3.666654625809141,CEI NINA,-3.0
1950-06-01,1950,6,2.1732026473737918,-1.7750018043277205,-3.9482044517015122,CEI NINA,-3.0
1950-07-01,1950,7,2.508829139202625,-1.5863517227948938,-4.095180861997519,CEI NINA,-3.0
1950-08-01,1950,8,2.6758662052137807,-1.5002993855178821,-4.176165590731663,CEI NINA,-3.0
1950-09-01,1950,9,1.7184643662977572,-1.406136554623812,-3.1246009209215693,CEI NINA,-3.0
1950-10-01,1950,10,1.4809128475260704,-1.1898296898568108,-2.670742537382881,CEI NINA,-3.0
1950-11-01,1950,11,1.330698903466151,-1.1720677088354468,-2.5027666123015977,CEI NINA,-3.0
1950-12-01,1950,12,1.9301469481916498,-1.2535781696869035,-3.183725117878553,CEI NINA,-3.0
1951-01-01,1951,1,1.8406526963845524,-1.3180565939425342,-3.158709290327087,CEI NINA,-3.0
1951-02-01,1951,2,1.762411877412883,-1.3180565939425342,-3.080468471355417,CEI NINA,-3.0
1951-03-01,1951,3,1.0121769341036924,-1.2639596015167416,-2.276136535620434,CEI NINA,-3.0
1951-04-01,1951,4,0.49183614189579944,-1.1329751296012143,-1.6248112714970138,NINO3.4 NINA,-1.0
1951-05-01,1951,5,0.01640291390559272,-0.8993118084937018,-0.9157147223992945,NINO3.4 NINA,-1.0
1951-06-01,1951,6,0.2678875096534549,-0.6606199813436161,-0.928507490997071,NINO3.4 NINA,-1.0
1951-07-01,1951,7,-0.08030333595810403,-0.29678323768228515,-0.21647990172418113,Neutral,0.0
1951-08-01,1951,8,0.14770089657871538,-0.04284368253212186,-0.19054457911083725,Neutral,0.0
1951-09-01,1951,9,-0.4545403219821297,0.25813673559698985,0.7126770575791195,Neutral,0.0
1951-10-01,1951,10,-0.3912762116275949,0.46957730419375465,0.8608535158213495,Neutral,0.0
1951-11-01,1951,11,-0.6045980717594955,0.7063226128757504,1.310920684635246,NINO3.4 NINO,1.0
1951-12-01,1951,12,-0.43889749518725285,0.7026728907480748,1.1415703859353277,NINO3.4 NINO,1.0
1952-01-01,1952,1,-0.5047868898268231,0.6406276145775627,1.1454145044043857,NINO3.4 NINO,1.0
1952-02-01,1952,2,-0.5707462496911143,0.4654409524490565,1.0361872021401708,Neutral,0.0
1952-03-01,1952,3,-0.3288295170135896,0.30785406146957234,0.6366835784831619,Neutral,0.0
1952-04-01,1952,4,-0.18736977978156902,0.14686076317092375,0.33423054295249277,Neutral,0.0
1952-05-01,1952,5,0.3411080299095023,0.06178168512796036,-0.27932634478154195,Neutral,0.0
1952-06-01,1952,6,0.6309212883041392,-0.0693649966599108,-0.70028628496405,Neutral,0.0
1952-07-01,1952,7,0.9703177987164485,-0.19459101810732404,-1.1649088168237727,Neutral,0.0
