time,SAM
1948-01-01,-0.14296532661290617
1948-02-01,-0.8591742833896098
1948-03-01,-0.7401233675097892
1948-04-01,0.0007765772025906115
1948-05-01,1.1554872486336705
1948-06-01,0.34868722309647615
1948-07-01,-1.2483674910106166
1948-08-01,-1.5651588167097306
1948-09-01,0.0480198163967096
1948-10-01,-1.1167756413416896
1948-11-01,-1.4472803062224786
1948-12-01,-0.7355317961230862
1949-01-01,-2.208813537503894
1949-02-01,-3.0086690692259315
1949-03-01,-0.6281889567366798
1949-04-01,0.7453767293959043
1949-05-01,1.5017636980738094
1949-06-01,1.5905277920470962
1949-07-01,-0.2821195155047044
1949-08-01,0.8054017013629103
1949-09-01,0.37644383122432257
1949-10-01,0.33038334852942064
1949-11-01,0.04001459737998936
1949-12-01,-1.6450177788735967
1950-01-01,-1.905154860268798
1950-02-01,-0.7517738390828108
1950-03-01,-1.129941310953362
1950-04-01,-0.6630854383280618
1950-05-01,0.2972675904668737
1950-06-01,0.19590708760754139
1950-07-01,-1.6867538758487122
1950-08-01,-0.7002909667977267
1950-09-01,0.5564391295119788
1950-10-01,0.2642481441654084
1950-11-01,-0.500039694666911
1950-12-01,0.19172443102102987
1951-01-01,-0.02806393776241256
1951-02-01,-0.40110959857131934
1951-03-01,-0.00577235029957579
1951-04-01,-0.9636275033818703
1951-05-01,-1.2118222992008776
1951-06-01,-0.549155021816422
1951-07-01,-0.4703891970085635
1951-08-01,-0.6412789667859107
1951-09-01,-1.2388174515884045
1951-10-01,-0.8157991147273107
1951-11-01,-0.4896393865717963
1951-12-01,-1.4375252517590333
1952-01-01,-1.9090545856038137
1952-02-01,-0.3719011580605601
1952-03-01,-0.7035421513533134
1952-04-01,-1.306251149181338
1952-05-01,-0.8107030566786567
1952-06-01,-0.20815695585927696
1952-07-01,-0.1743494176322058
1952-08-01,-0.09657703511064974
1952-09-01,-0.25377215101211603
1952-10-01,-0.08022856788140631
1952-11-01,-0.9601665743835892
1952-12-01,-1.7679941179502245
1953-01-01,-1.5774207046201
1953-02-01,-0.97166495751903
1953-03-01,-0.4490891416179833
1953-04-01,-1.4511903261158128
1953-05-01,-0.5633595449404749
1953-06-01,0.12505005424307525
1953-07-01,-1.4216184771969753
1953-08-01,0.3708427022820068
1953-09-01,0.38336236441273935
1953-10-01,-0.9503501456670712
1953-11-01,-0.25561528613885276
1953-12-01,-1.4018524879375063
1954-01-01,-0.08662025181897448
1954-02-01,-0.10665962894382297
1954-03-01,-1.4903507355345693
1954-04-01,-0.6463849830942752
1954-05-01,0.7417739605690673
1954-06-01,0.1791132724274056
1954-07-01,-0.2390671981291247
1954-08-01,-2.1124725626429126
1954-09-01,0.7950764890868193
1954-10-01,0.30409377573623386
1954-11-01,1.1762046908222414
1954-12-01,-0.9532912399751032
1955-01-01,-0.32159901328777996
1955-02-01,0.23551384232979228
1955-03-01,0.8900237685167495
1955-04-01,0.4722581789363648
1955-05-01,-0.3207382111428927
1955-06-01,-0.04877642384349079
1955-07-01,0.7877117590046644
1955-08-01,-1.223406257069497
1955-09-01,-0.16001930973239065
1955-10-01,-1.2663954761575154
1955-11-01,-1.0451127603269526
1955-12-01,-0.6007495244430969
1956-01-01,-0.6786045090624873
1956-02-01,-0.3634533633314492
1956-03-01,0.2191555520133876
1956-04-01,0.03969013994258608
1956-05-01,0.09851163275731789
1956-06-01,1.8309830015267137
1956-07-01,-0.11671459783455407
1956-08-01,-0.7664166949763485
1956-09-01,-0.7185909008318059
1956-10-01,-0.07934495267488018
1956-11-01,-0.08074248067554524
1956-12-01,-1.2812849467418104
1957-01-01,-0.32787727125059773
1957-02-01,0.35273475997746045
1957-03-01,0.6650272253311876
1957-04-01,0.061967261681583286
1957-05-01,-0.1782231196091184
1957-06-01,-1.1984621240199669
1957-07-01,0.2837302197716472
1957-08-01,0.13941616063524076
1957-09-01,1.2029228194531632
1957-10-01,-1.0408539292466539
1957-11-01,-0.602591948566713
1957-12-01,-0.9191892313059133
1958-01-01,0.8399642797161648
1958-02-01,0.39767778743648663
1958-03-01,0.27942802501646224
1958-04-01,-0.5261573186740185
1958-05-01,-0.26556708329749645
1958-06-01,0.9697218024718488
1958-07-01,-0.5285785443878799
1958-08-01,0.6831199647673236
1958-09-01,1.9207826108487929
1958-10-01,0.9611447395816459
1958-11-01,1.2161332095797195
1958-12-01,1.6640066728224507
1959-01-01,1.4682699854628622
1959-02-01,0.3372887894195611
1959-03-01,0.8618406578044202
1959-04-01,-0.6153298111094718
1959-05-01,-1.0593338191821344
1959-06-01,-0.07298741693271915
1959-07-01,-0.5283826533555991
1959-08-01,-0.40904554194315235
1959-09-01,1.286854065632391
1959-10-01,0.13479993042283472
1959-11-01,1.533756901494416
1959-12-01,0.5554023860776904
1960-01-01,0.4657009584565828
1960-02-01,0.6667929171460202
1960-03-01,1.7515215780448385
1960-04-01,-0.5687195165766123
1960-05-01,-0.5814189224291282
1960-06-01,0.9721899483583277
1960-07-01,0.4427769818378948
1960-08-01,-0.3333664271448361
1960-09-01,0.33961507322109136
1960-10-01,0.7337437321348991
1960-11-01,0.9168911255940431
1960-12-01,0.42496629072166636
1961-01-01,0.657702637915672
1961-02-01,-0.11027925963728646
1961-03-01,0.3647053936247209
1961-04-01,0.2901465423195696
1961-05-01,-0.08678704328952169
1961-06-01,-0.2934561011357041
1961-07-01,-0.036563330930061366
1961-08-01,0.7930815341881915
1961-09-01,-0.12261111552904269
1961-10-01,0.6748066133622425
1961-11-01,0.826731272783914
1961-12-01,1.7407206460675673
1962-01-01,1.5861370884323844
