,DMI
1900-01-01,-0.9299462807182239
1900-02-01,0.056635312658919745
1900-03-01,0.14952118725566754
1900-04-01,-0.3854703557290713
1900-05-01,0.48530995586777215
1900-06-01,0.7141687544868995
1900-07-01,0.2625364749120629
1900-08-01,-0.744908995447596
1900-09-01,-1.1982614370671956
1900-10-01,-0.9792270930442205
1900-11-01,-0.5223367271324721
1900-12-01,-0.19110279057605672
1901-01-01,0.07178075588493049
1901-02-01,-0.07561054809073253
1901-03-01,0.12420464110595408
1901-04-01,0.1362498365280877
1901-05-01,-0.5977329189024174
1901-06-01,-0.8209076921771474
1901-07-01,-0.832666404702781
1901-08-01,-0.9204068928130262
1901-09-01,-1.1956522764107034
1901-10-01,-0.8364878532325802
1901-11-01,-0.9468607270439827
1901-12-01,-0.9752952726723993
1902-01-01,-1.1743422669398729
1902-02-01,-0.8268670889970207
1902-03-01,-0.6759895479917122
1902-04-01,-0.3717283666800071
1902-05-01,-0.6141810973317207
1902-06-01,0.2991030144374358
1902-07-01,1.601507068724212
1902-08-01,1.7863230484653367
1902-09-01,2.0943494386252373
1902-10-01,2.0706490058674683
1902-11-01,1.596791615671483
1902-12-01,0.1158877662061244
1903-01-01,-0.5829166091767455
1903-02-01,-0.5181058484822905
1903-03-01,-0.39868144869437516
1903-04-01,-0.26924732488009373
1903-05-01,0.22938636317460226
1903-06-01,0.21445893076238787
1903-07-01,-0.5281292064336658
1903-08-01,0.2783357656372405
1903-09-01,-0.6686556678986624
1903-10-01,-1.4217387227573544
1903-11-01,-1.0158363684622453
1903-12-01,-0.023317672131888623
1904-01-01,0.7815566486477905
1904-02-01,1.4529720877342571
1904-03-01,1.366893537452259
1904-04-01,0.6875415221624732
1904-05-01,-0.09409363274040206
1904-06-01,-0.2940904101967625
1904-07-01,0.2022018914995003
1904-08-01,-0.001885155672936234
1904-09-01,-0.35266516922237656
1904-10-01,0.8503587806364783
1904-11-01,0.6058063890514934
1904-12-01,0.1030949920902412
1905-01-01,0.8907946023179716
1905-02-01,1.090226195823876
1905-03-01,0.11713649720123609
1905-04-01,-0.5757046599563531
1905-05-01,-0.7157794368320078
1905-06-01,-0.2914909250645098
1905-07-01,-0.12832108392579822
1905-08-01,0.31868866562032927
1905-09-01,-0.02979680958875086
1905-10-01,-0.008480809102920817
1905-11-01,-0.376530476062301
1905-12-01,-0.9399972290877325
1906-01-01,-0.16163608105181815
1906-02-01,0.06481691374037019
1906-03-01,-0.2574250901674184
1906-04-01,-0.32467702402569054
1906-05-01,-0.4024969934712458
1906-06-01,-0.22972429204145622
1906-07-01,-1.2943501285928167
1906-08-01,-2.2196874987353743
1906-09-01,-3.3393750543978102
1906-10-01,-2.609038843264823
1906-11-01,-2.07076909475298
1906-12-01,-1.011049081699463
1907-01-01,-1.186616158300055
1907-02-01,-1.3536271993358704
1907-03-01,-0.23924233418114782
1907-04-01,0.13631652392100224
1907-05-01,-0.45910720708221553
1907-06-01,-0.3521437226041306
1907-07-01,-0.5667554054514139
1907-08-01,-1.694627890564702
1907-09-01,-0.20724790175197816
1907-10-01,0.2069639715734587
1907-11-01,-0.1908988456831252
1907-12-01,0.3388917389450544
1908-01-01,0.14331169461065962
1908-02-01,-0.9599564406310446
1908-03-01,-0.6545266685684701
1908-04-01,-0.6702254554603388
1908-05-01,-0.08921611738492374
1908-06-01,0.557982587265488
1908-07-01,-0.5363382122846168
1908-08-01,-0.49612289584452723
1908-09-01,-0.37571670297481374
1908-10-01,-0.29236432036646753
1908-11-01,0.24102839312420277
1908-12-01,-0.568719574823666
1909-01-01,-0.43590345813200937
1909-02-01,0.02610874487140502
1909-03-01,-0.4065476898689897
1909-04-01,-1.1575843990963386
1909-05-01,-1.2968804173033996
1909-06-01,-2.105390597452807
1909-07-01,-1.8487142930105838
1909-08-01,-2.1562047192892346
1909-09-01,-1.943055724697383
1909-10-01,-1.6542632628436817
1909-11-01,-0.9558839377494441
1909-12-01,-0.46184657776831867
1910-01-01,-0.6748868942062275
1910-02-01,-0.12090348961778086
1910-03-01,-0.2550896608499743
1910-04-01,-0.537283669078384
1910-05-01,-0.9789969045812896
1910-06-01,-1.1069208868773743
1910-07-01,-1.0444691899975034
1910-08-01,-1.1205828912713929
1910-09-01,-2.1788655897262257
1910-10-01,-2.3484509859573883
1910-11-01,-1.4464000399484103
1910-12-01,-0.6942500985617832
1911-01-01,-0.15570017043236606
1911-02-01,-0.8649140174180582
1911-03-01,-1.8011504355707795
1911-04-01,-0.9707088867654795
1911-05-01,-0.9378671787116364
1911-06-01,-1.1984436411550687
1911-07-01,-1.1204106661358537
1911-08-01,-0.922890700738827
1911-09-01,-0.80560179319171
1911-10-01,-0.9791348439274772
1911-11-01,-0.7983344119754282
1911-12-01,-0.4578863559683575
1912-01-01,-0.2782844919260198
1912-02-01,0.011874768713851402
1912-03-01,0.2665443695454508
1912-04-01,-0.21940332810411217
1912-05-01,-0.28481303726635904
1912-06-01,0.6793685529304048
1912-07-01,-0.811865515426768
1912-08-01,-1.5179647456978365
1912-09-01,-1.1298880850399207
1912-10-01,-0.7029636610412411
1912-11-01,-1.031359458902866
1912-12-01,-0.9168022966781658
1913-01-01,0.11109547854857915
1913-02-01,0.4567467005346783
1913-03-01,0.5539877078440234
1913-04-01,0.5208294051234676
1913-05-01,0.7059833851159949
1913-06-01,0.8831194263460266
1913-07-01,0.5160729604197647
1913-08-01,0.3968675810199711
1913-09-01,-0.23049534254638682
1913-10-01,0.3374864457045784
1913-11-01,0.02828454812370007
1913-12-01,0.06289967904313143
1914-01-01,-0.09789936663784204
1914-02-01,0.22320433846455479
1914-03-01,0.054439126340753596
1914-04-01,-0.0544732599875849
1914-05-01,0.17274822910967946
1914-06-01,0.861270343131952
1914-07-01,0.5572848962231433
1914-08-01,-0.026210807802385327
1914-09-01,0.1306836230163837
1914-10-01,-0.7314543627856273
1914-11-01,-1.2385005709873536
1914-12-01,-1.458751490070465
1915-01-01,-1.024960583627538
1915-02-01,-1.402945784150814
1915-03-01,-0.6483383601133321
1915-04-01,0.14975285789667755
1915-05-01,-0.644253186947837
1915-06-01,-0.27882798544519866
1915-07-01,-0.8964696243417067
1915-08-01,-0.07454887300281143
1915-09-01,0.33149331235346047
1915-10-01,0.33540331404402907
1915-11-01,0.5649547703922537
1915-12-01,0.8639341290242135
1916-01-01,0.928028965721406
1916-02-01,0.1449632037923244
1916-03-01,0.48075997492870404
1916-04-01,0.3530155180134117
1916-05-01,0.2737663455996926
1916-06-01,-0.2550076611683122
1916-07-01,-0.2661676661793113
1916-08-01,-1.5416810396411647
1916-09-01,-2.2200346371111355
1916-10-01,-2.330362321625669
1916-11-01,-1.5423568553498024
1916-12-01,-0.7914342319012816
1917-01-01,-0.1377290921837856
1917-02-01,0.26023781723146766
1917-03-01,1.1515540073911226
1917-04-01,0.7505281290517734
1917-05-01,-0.40557608731605077
1917-06-01,-0.48900070924132516
1917-07-01,-1.27780035398709
1917-08-01,-0.6161193706544867
1917-09-01,-0.8672034298837749
1917-10-01,-2.0880117636682662
1917-11-01,-2.3321887622453406
1917-12-01,-1.1937994809608052
1918-01-01,0.7192511888469242
1918-02-01,1.4682104946255972
