,soi
1876-01-01,1.0237813248281133
1876-02-01,0.985181853066946
1876-03-01,0.37547037369811814
1876-04-01,0.9196392401300539
1876-05-01,0.9565895985587137
1876-06-01,2.1006671987299748
1876-07-01,-0.4807513284394564
1876-08-01,1.4630625518763791
1876-09-01,0.9537264261521881
1876-10-01,-0.5914029707932109
1876-11-01,-0.2522986707147447
1876-12-01,-0.24691591206340632
1877-01-01,-0.8024232005407536
1877-02-01,-0.3699009931590529
1877-03-01,-0.06339110205299311
1877-04-01,-0.45682730149637857
1877-05-01,0.649662454636178
1877-06-01,-1.3278828924616195
1877-07-01,-0.9592242145641903
1877-08-01,-0.49584965147269355
1877-09-01,-1.6269450799066174
1877-10-01,-1.3212990423420237
1877-11-01,-1.1189734937805473
1877-12-01,-1.1433622170070628
1878-01-01,-0.7194139039331057
1878-02-01,-1.5052406751321048
1878-03-01,-1.0386388259443762
1878-04-01,-0.39698093012136954
1878-05-01,0.49619888267486645
1878-06-01,0.05986357302075214
1878-07-01,1.774906563291621
1878-08-01,1.524278558230981
1878-09-01,1.6269450799066174
1878-10-01,1.1491184305922768
1878-11-01,1.3077160108036607
1878-12-01,1.6875208512359272
1879-01-01,1.148295269739609
1879-02-01,1.2415488780285853
1879-03-01,1.5457676423677666
1879-04-01,1.1590247256303623
1879-05-01,0.49619888267486645
1879-06-01,2.0190350537016766
1879-07-01,2.3900859883091803
1879-08-01,2.4425186535508456
1879-09-01,1.739148188865721
1879-10-01,1.5421393921954885
1879-11-01,0.8454894385019256
1879-12-01,-0.4828228344169888
1880-01-01,0.9822766765242659
1880-02-01,0.7288148281052649
1880-03-01,1.6432924147568717
1880-04-01,0.6204073832547365
1880-05-01,1.4937121004232168
1880-06-01,1.2843457484463414
1880-07-01,0.2711346354708509
1880-08-01,1.6467105709403242
1880-09-01,0.7293202082340449
1880-10-01,0.5876599140162965
1880-11-01,0.6143761523510579
1880-12-01,-0.15255314312205914
1881-01-01,-0.5948999590216102
1881-02-01,-0.2966532717413762
1881-03-01,0.5217575322818034
1881-04-01,0.26132915500441023
1881-05-01,-0.11765540517020505
1881-06-01,-0.10340071703603022
1881-07-01,-0.4807513284394564
1881-08-01,-0.8019296832459818
1881-09-01,-1.2903357530293709
1881-10-01,-2.0511951138907722
1881-11-01,0.6143761523510579
1881-12-01,0.9326186997044524
1882-01-01,-0.5533953107177627
1882-02-01,0.03296147463789831
1882-03-01,0.8143318494492294
1882-04-01,0.32117552637941926
1882-05-01,0.9565895985587137
1882-06-01,-0.838090022291458
1882-07-01,-2.121229795153052
1882-08-01,-2.148681823048478
1882-09-01,-1.4025388619884105
1882-10-01,-0.08609030587484151
1882-11-01,0.20992790158699043
1882-12-01,0.9798000841751796
1883-01-01,0.5672301934858849
1883-02-01,0.8386864102316758
1883-03-01,-1.916361777446654
1883-04-01,1.2787174683804483
1883-05-01,1.6471756723844408
1883-06-01,0.712920733247696
1883-07-01,-0.959224214564268
1883-08-01,0.4223904438472408
1883-09-01,-0.7854217627135328
1883-10-01,0.5876599140162965
1883-11-01,0.441041187737858
1883-12-01,-1.379269139360645
1884-01-01,-1.0514510903637917
1884-02-01,-0.2600294110326003
1884-03-01,1.2044309390058159
1884-04-01,-0.87575190112185
1884-05-01,0.41946709669421073
1884-06-01,1.2843457484462486
1884-07-01,-0.207338250653883
1884-08-01,-0.1897696196994053
1884-09-01,-0.6732186537544932
1884-10-01,0.5315140623587495
1884-11-01,-0.1367420276393438
1884-12-01,-1.1433622170070628
1885-01-01,-1.3834882767945247
1885-02-01,0.2527046388907202
1885-03-01,0.8143318494492294
1885-04-01,0.2014827836292651
1885-05-01,-0.11765540517020505
1885-06-01,-1.0829864573765389
1885-07-01,-0.4123980589931213
1885-08-01,-0.6182816641820367
1885-09-01,-0.3927108813567983
1885-10-01,-1.489736597314792
1885-11-01,-1.4078651014691483
1885-12-01,0.5079862394680147
1886-01-01,-0.01383488276783908
1886-02-01,0.2527046388907202
1886-03-01,0.6192823046709639
1886-04-01,0.5605610118796595
1886-05-01,0.879857812578058
1886-06-01,0.8761850233043855
1886-07-01,0.8863140604884882
1886-08-01,1.5854945645856526
1886-09-01,1.2342341985498828
1886-10-01,1.3737018372227199
1886-11-01,0.9032677600396588
1886-12-01,1.3572511599409438
1887-01-01,1.1067906214357612
1887-02-01,0.9851818530669043
1887-03-01,1.2531933252003407
1887-04-01,0.9196392401300539
1887-05-01,-0.11765540517020505
1887-06-01,0.8761850233043855
1887-07-01,0.6129009827029148
1887-08-01,0.7284704756204594
1887-09-01,0.44881243583628627
1887-10-01,0.5876599140162965
1887-11-01,-0.48341195686561234
1887-12-01,0.5079862394680147
1888-01-01,-0.22135812428702958
1888-02-01,-0.04028624677973676
1888-03-01,-0.6973021225823699
1888-04-01,-1.4742156148724848
1888-05-01,-0.6547779070347081
1888-06-01,-1.246250747433321
1888-07-01,-1.6427569090282403
1888-08-01,-0.5570656578273651
1888-09-01,-0.8976248716726363
1888-10-01,-1.209007339026802
1888-11-01,-1.1189734937805473
1888-12-01,-0.19973452759273272
1889-01-01,-2.2135812428712867
1889-02-01,-0.003662386070919226
1889-03-01,-2.1114113222249196
1889-04-01,0.2014827836292651
1889-05-01,0.11253995277167496
1889-06-01,2.5904600689002293
1889-07-01,0.27113463547092864
1889-08-01,0.48360645020184273
1889-09-01,1.0098279806317398
1889-10-01,0.5315140623587495
1889-11-01,2.001055869256329
1889-12-01,2.0649719270016913
1890-01-01,1.8538742909048282
1890-02-01,0.9851818530669043
1890-03-01,1.643292414756927
