,east,west,dmi
1941-11-01,1.6849945041060959,1.4188103345301277,-0.26618416957596813
1941-12-01,1.4167666064809405,1.0686626269443387,-0.3481039795366019
1942-01-01,1.471771053809555,0.526855999978232,-0.944915053831323
1942-02-01,1.646460116409311,0.9210144264021551,-0.7254456900071558
1942-03-01,1.4240264274226508,1.0610953356922028,-0.362931091730448
1942-04-01,1.130652808372408,0.5553334861706314,-0.5753193222017765
1942-05-01,2.1580671773994564,0.6516983310749297,-1.5063688463245266
1942-06-01,2.028362578841591,0.3735592928422631,-1.654803285999328
1942-07-01,1.402834877964813,-0.44395402873975354,-1.8467889067045666
1942-08-01,0.4106868256278954,-0.03286356345713168,-0.4435503890850271
1942-09-01,0.4324020422500047,-0.07865761577833685,-0.5110596580283415
1942-10-01,1.3421355502247518,0.32280169318804824,-1.0193338570367036
1942-11-01,-0.6332145737261198,0.47776489914405057,1.1109794728701703
1942-12-01,0.8749529203369308,0.03694835745140049,-0.8380045628855304
1943-01-01,0.7195086260241343,0.2571605129704834,-0.4623481130536509
1943-02-01,1.4010638647078695,0.03836064458702128,-1.3627032201208482
1943-03-01,1.5818902579851815,-0.41718412608405964,-1.999074384069241
1943-04-01,0.11404755995601837,-0.8079344468702506,-0.921982006826269
1943-05-01,-0.2638934573539526,-0.30571679611038954,-0.041823338756436956
1943-06-01,-0.5179690074261823,0.08533716640996039,0.6033061738361427
1943-07-01,0.04090022733193151,-0.23511527830330498,-0.27601550563523647
1943-08-01,0.06273908759004833,-0.2576675780130766,-0.3204066656031249
1943-09-01,0.7392928199779928,-0.7310572385914252,-1.470350058569418
1943-10-01,2.441436571665605,-0.7584068209214218,-3.199843392587027
1943-11-01,3.527175583305847,-0.35410432117155205,-3.881279904477399
1943-12-01,1.4609146576910101,-0.11413426862513373,-1.5750489263161438
1944-01-01,1.1311692023816207,-0.11807133999002602,-1.2492405423716466
1944-02-01,1.0991188324202184,0.0892607568521942,-1.0098580755680242
1944-03-01,0.8635207327761897,0.40732836215235424,-0.45619237062383544
1944-04-01,0.7131373421921694,0.6776824885242608,-0.03545485366790857
1944-05-01,-1.3117005409748228,0.5744333857825071,1.88613392675733
1944-06-01,0.24229389092449002,0.619605389815342,0.3773114988908519
1944-07-01,0.47128917796716563,0.5025800680143051,0.031290890047139475
1944-08-01,0.11110556873452326,1.0272376774617862,0.9161321087272629
1944-09-01,0.036669675472428276,0.898940378472401,0.8622707029999728
1944-10-01,-0.05758314094129469,0.7197956070110794,0.777378747952374
1944-11-01,0.7797048938725918,0.8574839735036464,0.07777907963105457
1944-12-01,1.8112989026737292,1.523008237447538,-0.2882906652261912
1945-01-01,1.8735765050616633,1.4899331146799952,-0.38364339038166806
1945-02-01,1.6795893377045115,1.6778334244334678,-0.0017559132710436298
1945-03-01,0.8458833317573399,0.5660373387612414,-0.27984599299609847
1945-04-01,0.8397629717749227,0.22578270256047758,-0.613980269214445
1945-05-01,0.053034274355896575,0.0975361175182341,0.044501843162337525
1945-06-01,-1.001379258443856,1.6761052985384266,2.6774845569822823
1945-07-01,-1.2667766865584262,1.9167866302422396,3.183563316800666
1945-08-01,-0.7869108864396613,1.6474371535827184,2.4343480400223796
1945-09-01,0.2626466031654865,1.9282665988087442,1.6656199956432576
1945-10-01,1.3982479415074025,0.6783321406066462,-0.7199158009007564
1945-11-01,1.3047903233801663,0.7687987608736347,-0.5359915625065316
1945-12-01,1.575648678751776,0.3135576319367112,-1.2620910468150648
