,NINO34
1950-01-01,-1.8406666666666638
1950-02-01,-1.6313333333333375
1950-03-01,-1.2993333333333297
1950-04-01,-1.438333333333329
1950-05-01,-1.7206666666666592
1950-06-01,-1.169666666666675
1950-07-01,-0.8560000000000016
1950-08-01,-0.9456666666666607
1950-09-01,-1.0513333333333357
1950-10-01,-0.8316666666666634
1950-11-01,-1.0966666666666676
1950-12-01,-1.190999999999999
1951-01-01,-1.2106666666666612
1951-02-01,-1.0513333333333357
1951-03-01,-0.609333333333332
1951-04-01,-0.55833333333333
1951-05-01,-0.2306666666666608
1951-06-01,-0.2296666666666738
1951-07-01,0.4439999999999955
1951-08-01,0.43433333333333835
1951-09-01,0.6786666666666648
1951-10-01,0.6383333333333354
1951-11-01,0.7433333333333323
1951-12-01,0.42900000000000205
1952-01-01,0.17933333333333934
1952-02-01,-0.04133333333333766
1952-03-01,-0.009333333333330529
1952-04-01,0.08166666666667055
1952-05-01,0.07933333333333792
1952-06-01,-0.35966666666667635
1952-07-01,-0.5560000000000045
1952-08-01,-0.46566666666666023
1952-09-01,-0.29133333333333766
1952-10-01,-0.25166666666666515
1952-11-01,-0.3766666666666687
1952-12-01,-0.1609999999999978
1953-01-01,0.17933333333333934
1953-02-01,0.35866666666666447
1953-03-01,0.3506666666666689
1953-04-01,0.3916666666666728
1953-05-01,0.37933333333333863
1953-06-01,0.33033333333332493
1953-07-01,0.24399999999999622
1953-08-01,0.23433333333333906
1953-09-01,0.2986666666666622
1953-10-01,0.22833333333333528
1953-11-01,0.22333333333333272
1953-12-01,0.2989999999999995
1954-01-01,0.35933333333333906
1954-02-01,0.38866666666666205
1954-03-01,-0.11933333333332996
1954-04-01,-0.9283333333333275
1954-05-01,-0.8406666666666602
1954-06-01,-0.7596666666666749
1954-07-01,-0.9060000000000024
1954-08-01,-1.1956666666666607
1954-09-01,-1.4513333333333378
1954-10-01,-1.2816666666666627
1954-11-01,-1.0666666666666664
1954-12-01,-1.320999999999998
1955-01-01,-1.130666666666663
1955-02-01,-0.9313333333333382
1955-03-01,-0.9593333333333298
1955-04-01,-1.1383333333333283
1955-05-01,-1.2506666666666604
1955-06-01,-1.129666666666676
1955-07-01,-0.9660000000000046
1955-08-01,-1.3256666666666597
1955-09-01,-1.2013333333333378
1955-10-01,-2.131666666666664
1955-11-01,-2.446666666666669
1955-12-01,-2.1110000000000007
1956-01-01,-1.390666666666661
1956-02-01,-0.8313333333333368
1956-03-01,-0.7093333333333298
1956-04-01,-0.8383333333333276
1956-05-01,-0.6806666666666601
1956-06-01,-0.6996666666666762
1956-07-01,-0.9060000000000024
1956-08-01,-1.015666666666661
1956-09-01,-0.9213333333333367
1956-10-01,-0.961666666666666
1956-11-01,-1.0966666666666676
1956-12-01,-0.9809999999999981
1957-01-01,-0.5806666666666622
1957-02-01,-0.2513333333333385
1957-03-01,0.32066666666666777
1957-04-01,0.5416666666666714
1957-05-01,0.6793333333333393
1957-06-01,0.5903333333333265
1957-07-01,0.8339999999999961
1957-08-01,0.8243333333333389
1957-09-01,0.7086666666666623
1957-10-01,0.6983333333333341
1957-11-01,1.053333333333331
1957-12-01,1.3889999999999993
1958-01-01,1.699333333333339
1958-02-01,1.5786666666666633
1958-03-01,1.010666666666669
1958-04-01,0.551666666666673
1958-05-01,0.4393333333333409
1958-06-01,0.36033333333332607
1958-07-01,0.20399999999999707
1958-08-01,-0.025666666666662508
1958-09-01,-0.3313333333333368
1958-10-01,-0.18166666666666487
1958-11-01,0.15333333333333243
1958-12-01,0.07900000000000063
1959-01-01,0.4693333333333385
1959-02-01,0.4186666666666632
1959-03-01,0.2206666666666699
1959-04-01,0.13166666666667126
1959-05-01,-0.11066666666665981
1959-06-01,-0.3496666666666748
1959-07-01,-0.7160000000000046
1959-08-01,-0.6056666666666608
1959-09-01,-0.6613333333333351
1959-10-01,-0.3716666666666626
1959-11-01,-0.41666666666666785
1959-12-01,-0.25099999999999767
1960-01-01,-0.4206666666666621
1960-02-01,-0.5613333333333372
1960-03-01,-0.35933333333333195
1960-04-01,-0.2883333333333269
1960-05-01,-0.2906666666666595
1960-06-01,-0.4496666666666762
1960-07-01,-0.20600000000000307
1960-08-01,-0.07566666666665967
1960-09-01,-0.2313333333333354
1960-10-01,-0.4416666666666629
1960-11-01,-0.3966666666666683
1960-12-01,-0.2809999999999988
1961-01-01,-0.2906666666666631
1961-02-01,-0.22133333333333738
1961-03-01,-0.3293333333333308
1961-04-01,-0.29833333333332845
1961-05-01,-0.0606666666666591
1961-06-01,0.1703333333333248
1961-07-01,-0.11600000000000321
1961-08-01,-0.49566666666666137
1961-09-01,-0.861333333333338
1961-10-01,-0.851666666666663
1961-11-01,-0.5366666666666688
1961-12-01,-0.49099999999999966
1962-01-01,-0.5506666666666611
1962-02-01,-0.5513333333333357
1962-03-01,-0.5293333333333301
1962-04-01,-0.5783333333333296
1962-05-01,-0.6806666666666601
1962-06-01,-0.5096666666666749
1962-07-01,-0.34600000000000364
1962-08-01,-0.4056666666666615
1962-09-01,-0.7613333333333365
1962-10-01,-0.7316666666666656
1962-11-01,-0.8566666666666691
1962-12-01,-0.940999999999999
1963-01-01,-0.8106666666666626
1963-02-01,-0.44133333333333624
1963-03-01,-0.019333333333332092
1963-04-01,0.07166666666667254
1963-05-01,-0.20066666666665967
1963-06-01,0.0003333333333266353
1963-07-01,0.6339999999999968
1963-08-01,0.7043333333333379
1963-09-01,0.638666666666662
1963-10-01,0.7683333333333344
1963-11-01,0.8733333333333313
1963-12-01,1.019000000000002
1964-01-01,0.7593333333333376
1964-02-01,0.43866666666666276
1964-03-01,-0.2293333333333294
1964-04-01,-0.7383333333333297
1964-05-01,-0.9706666666666592
1964-06-01,-1.0296666666666745
1964-07-01,-0.8560000000000016
1964-08-01,-1.1856666666666626
1964-09-01,-1.3413333333333384
1964-10-01,-1.2616666666666632
1964-11-01,-1.3366666666666696
1964-12-01,-1.2709999999999972
1965-01-01,-0.8906666666666609
1965-02-01,-0.4613333333333358
1965-03-01,-0.20933333333332982
1965-04-01,-0.17833333333332746
1965-05-01,0.15933333333333977
1965-06-01,0.5003333333333266
1965-07-01,0.7439999999999962
1965-08-01,1.1443333333333392
1965-09-01,1.1986666666666643
1965-10-01,1.4683333333333373
1965-11-01,1.553333333333331
1965-12-01,1.3790000000000013
1966-01-01,1.079333333333338
1966-02-01,0.8286666666666633
1966-03-01,0.890666666666668
1966-04-01,0.44166666666667
1966-05-01,-0.2406666666666588
1966-06-01,0.08033333333332493
1966-07-01,0.14399999999999835
1966-08-01,-0.2756666666666625
1966-09-01,-0.3413333333333384
1966-10-01,-0.3916666666666657
1966-11-01,-0.31666666666666643
1966-12-01,-0.4809999999999981
1967-01-01,-0.49066666666666237
1967-02-01,-0.4813333333333354
1967-03-01,-0.6593333333333291
1967-04-01,-0.8883333333333283
1967-05-01,-0.4206666666666621
1967-06-01,-0.06966666666667365
1967-07-01,-0.10600000000000165
1967-08-01,-0.3056666666666601
1967-09-01,-0.7313333333333354
1967-10-01,-0.601666666666663
1967-11-01,-0.47666666666666657
1967-12-01,-0.5909999999999975
1968-01-01,-0.8906666666666609
1968-02-01,-1.0413333333333377
1968-03-01,-0.9493333333333318
1968-04-01,-0.7083333333333286
1968-05-01,-0.7606666666666619
1968-06-01,0.0003333333333266353
1968-07-01,0.3339999999999961
1968-08-01,0.1943333333333399
1968-09-01,0.06866666666666177
1968-10-01,0.19833333333333414
1968-11-01,0.6433333333333309
1968-12-01,0.7290000000000028
1969-01-01,0.8793333333333386
1969-02-01,1.1186666666666625
1969-03-01,0.6906666666666688
1969-04-01,0.5916666666666721
1969-05-01,0.5893333333333395
1969-06-01,0.3003333333333238
1969-07-01,0.023999999999997357
1969-08-01,0.23433333333333906
1969-09-01,0.508666666666663
1969-10-01,0.7083333333333357
1969-11-01,0.6133333333333333
1969-12-01,0.6090000000000018
1970-01-01,0.37933333333333863
1970-02-01,0.18866666666666276
1970-03-01,0.020666666666670608
1970-04-01,0.1616666666666724
1970-05-01,-0.14066666666666094
1970-06-01,-0.5496666666666741
1970-07-01,-0.7960000000000029
1970-08-01,-1.0656666666666617
1970-09-01,-0.9713333333333374
1970-10-01,-1.0016666666666652
1970-11-01,-0.9066666666666698
1970-12-01,-1.221
1971-01-01,-1.5806666666666622
1971-02-01,-1.4313333333333382
1971-03-01,-1.2293333333333294
1971-04-01,-1.0183333333333273
1971-05-01,-0.8506666666666618
1971-06-01,-0.9896666666666754
1971-07-01,-0.9860000000000042
1971-08-01,-0.9356666666666626
1971-09-01,-0.8913333333333355
1971-10-01,-1.1416666666666657
1971-11-01,-1.0466666666666669
1971-12-01,-1.1409999999999982
1972-01-01,-0.8306666666666622
1972-02-01,-0.4113333333333351
1972-03-01,-0.11933333333332996
1972-04-01,0.13166666666667126
1972-05-01,0.35933333333333906
1972-06-01,0.5403333333333258
1972-07-01,0.9039999999999964
1972-08-01,1.1743333333333403
1972-09-01,1.2686666666666646
1972-10-01,1.6683333333333366
1972-11-01,1.9533333333333331
1972-12-01,2.1189999999999998
1973-01-01,1.7693333333333392
1973-02-01,1.1686666666666632
1973-03-01,0.38066666666667004
1973-04-01,-0.4083333333333279
1973-05-01,-0.7806666666666615
1973-06-01,-0.9496666666666762
1973-07-01,-1.326000000000004
1973-08-01,-1.4656666666666602
1973-09-01,-1.5113333333333365
1973-10-01,-1.7616666666666632
1973-11-01,-2.236666666666668
1973-12-01,-2.2609999999999992
1974-01-01,-2.1506666666666625
1974-02-01,-1.7113333333333358
1974-03-01,-1.4193333333333307
1974-04-01,-1.1683333333333294
1974-05-01,-1.0706666666666607
1974-06-01,-0.9796666666666738
1974-07-01,-0.7960000000000029
1974-08-01,-0.5556666666666601
1974-09-01,-0.6013333333333364
1974-10-01,-0.8716666666666626
1974-11-01,-1.1066666666666691
1974-12-01,-0.9909999999999997
1975-01-01,-0.49066666666666237
1975-02-01,-0.611333333333338
1975-03-01,-0.8893333333333295
1975-04-01,-0.80833333333333
1975-05-01,-0.9406666666666617
1975-06-01,-1.3996666666666755
1975-07-01,-1.296000000000003
1975-08-01,-1.4556666666666622
1975-09-01,-1.6313333333333375
1975-10-01,-1.9216666666666633
1975-11-01,-1.6366666666666667
1975-12-01,-1.9309999999999974
1976-01-01,-1.9506666666666632
1976-02-01,-1.2513333333333385
1976-03-01,-0.7193333333333314
1976-04-01,-0.80833333333333
1976-05-01,-0.6406666666666609
1976-06-01,-0.3496666666666748
1976-07-01,-0.00600000000000378
1976-08-01,0.16433333333333877
1976-09-01,0.2886666666666642
1976-10-01,0.6883333333333361
1976-11-01,0.6833333333333336
1976-12-01,0.47900000000000276
